epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.111,0.97929,3.8467,1.42831,0.48191,0.49406,0.4869,0.34024,1.04382,1.89383,1.46589,0.000114504,0.000114504,0.000114504
2,220.155,0.99982,2.52001,1.40278,0.89974,0.81649,0.92124,0.60379,1.17032,1.23647,1.55213,0.00022496,0.00022496,0.00022496
3,316.71,0.99743,1.84946,1.38823,0.93642,0.94919,0.98314,0.69532,1.01142,0.8083,1.33666,0.000330862,0.000330862,0.000330862
4,412.663,0.97151,1.61256,1.35952,0.96211,0.96329,0.98249,0.71114,1.00553,0.6918,1.40192,0.000324507,0.000324507,0.000324507
5,510.001,0.95692,1.39795,1.3397,0.97391,0.97608,0.99077,0.74254,0.92678,0.59023,1.29889,0.000317676,0.000317676,0.000317676
6,606.856,0.94246,1.28549,1.32078,0.98797,0.98996,0.99329,0.76764,0.84677,0.54208,1.24706,0.000310845,0.000310845,0.000310845
7,703.313,0.91043,1.1528,1.29544,0.97984,0.98794,0.99225,0.7458,0.92608,0.51947,1.29718,0.000304014,0.000304014,0.000304014
8,798.209,0.8994,1.06713,1.2983,0.99251,0.99033,0.99302,0.77192,0.84348,0.47581,1.24233,0.000297183,0.000297183,0.000297183
9,894.299,0.90124,1.01237,1.2893,0.99101,0.99178,0.99397,0.73475,0.97394,0.49432,1.37591,0.000290352,0.000290352,0.000290352
10,989.614,0.87407,0.94965,1.27158,0.98739,0.98974,0.99428,0.77,0.84667,0.44893,1.23439,0.000283521,0.000283521,0.000283521
11,1084.89,0.86753,0.90691,1.26573,0.98844,0.98827,0.9924,0.79555,0.75869,0.43211,1.18987,0.00027669,0.00027669,0.00027669
12,1181.1,0.86576,0.89568,1.26718,0.99331,0.98908,0.9945,0.77785,0.81798,0.43617,1.2165,0.000269859,0.000269859,0.000269859
13,1275.79,0.84899,0.85079,1.24923,0.99497,0.99875,0.99495,0.82572,0.67538,0.39795,1.11523,0.000263028,0.000263028,0.000263028
14,1371.83,0.83036,0.81507,1.23435,0.99715,0.9969,0.99424,0.80385,0.7395,0.39577,1.16219,0.000256197,0.000256197,0.000256197
15,1467.11,0.8138,0.76928,1.2314,0.99515,0.99794,0.9946,0.81025,0.73616,0.38006,1.14791,0.000249366,0.000249366,0.000249366
16,1561.94,0.81497,0.75122,1.2258,0.99335,0.9937,0.99451,0.84397,0.62809,0.36101,1.09106,0.000242535,0.000242535,0.000242535
17,1658.28,0.80412,0.74563,1.22514,0.99655,0.99649,0.99476,0.80851,0.74499,0.36721,1.14061,0.000235704,0.000235704,0.000235704
18,1754.27,0.80547,0.7245,1.22151,0.99383,0.99471,0.99442,0.81437,0.72321,0.37243,1.1581,0.000228873,0.000228873,0.000228873
19,1850.76,0.78994,0.69267,1.20957,0.99625,0.99526,0.9949,0.82921,0.66,0.34171,1.0984,0.000222042,0.000222042,0.000222042
20,1945.16,0.77283,0.67051,1.19588,0.99667,0.9976,0.99499,0.85272,0.59867,0.33161,1.06324,0.000215211,0.000215211,0.000215211
21,2040.67,0.75775,0.64949,1.19201,0.9964,0.99784,0.99469,0.85279,0.5991,0.32936,1.05753,0.00020838,0.00020838,0.00020838
22,2135.62,0.75497,0.6343,1.18802,0.99689,0.9973,0.99465,0.84853,0.60936,0.31996,1.06,0.000201549,0.000201549,0.000201549
23,2230.58,0.75803,0.62706,1.1955,0.99712,0.99431,0.99419,0.84866,0.62443,0.32294,1.06802,0.000194718,0.000194718,0.000194718
24,2325.85,0.73453,0.6052,1.17369,0.99847,0.99734,0.99467,0.85565,0.60329,0.31815,1.05679,0.000187887,0.000187887,0.000187887
25,2422.5,0.74457,0.61384,1.18122,0.99879,0.99633,0.99427,0.84166,0.63858,0.31806,1.06891,0.000181056,0.000181056,0.000181056
26,2520.18,0.74681,0.59721,1.18579,0.99826,0.99464,0.9946,0.85697,0.58994,0.31047,1.03601,0.000174225,0.000174225,0.000174225
27,2618.47,0.72365,0.58731,1.17085,0.99812,0.99736,0.99489,0.83778,0.66394,0.31236,1.08191,0.000167394,0.000167394,0.000167394
28,2716.52,0.71661,0.56877,1.16127,0.99889,0.99823,0.99493,0.85666,0.59955,0.294,1.04181,0.000160563,0.000160563,0.000160563
29,2815.17,0.7081,0.5554,1.15482,0.99814,0.99701,0.99463,0.8547,0.60717,0.29658,1.04758,0.000153732,0.000153732,0.000153732
30,2914.17,0.69637,0.55038,1.15362,0.99886,0.99714,0.99471,0.86657,0.55631,0.28552,1.02188,0.000146901,0.000146901,0.000146901
31,3012.86,0.67542,0.5409,1.14341,0.99847,0.99814,0.99468,0.8658,0.58227,0.28418,1.03366,0.00014007,0.00014007,0.00014007
32,3111.08,0.67894,0.54535,1.14494,0.99814,0.99742,0.99499,0.87034,0.55803,0.28139,1.01696,0.000133239,0.000133239,0.000133239
33,3208.02,0.67085,0.52596,1.13023,0.99838,0.99806,0.99477,0.86505,0.57791,0.2794,1.02286,0.000126408,0.000126408,0.000126408
34,3303.7,0.661,0.52066,1.12866,0.99881,0.99827,0.995,0.87483,0.54082,0.27288,1.00185,0.000119577,0.000119577,0.000119577
35,3399.74,0.66372,0.51362,1.13437,0.99888,0.99806,0.99493,0.86672,0.56789,0.27707,1.01901,0.000112746,0.000112746,0.000112746
36,3495.86,0.64931,0.49828,1.12237,0.9988,0.99752,0.99499,0.85946,0.59516,0.27757,1.03065,0.000105915,0.000105915,0.000105915
37,3590.73,0.64232,0.50509,1.12149,0.99767,0.9969,0.99426,0.86843,0.56071,0.26818,1.01198,9.9084e-05,9.9084e-05,9.9084e-05
38,3686.32,0.64605,0.49185,1.12426,0.99794,0.99633,0.99424,0.88219,0.51945,0.25858,0.99162,9.2253e-05,9.2253e-05,9.2253e-05
39,3782.2,0.62215,0.47851,1.11285,0.99831,0.99759,0.9943,0.8794,0.52335,0.26244,0.99445,8.5422e-05,8.5422e-05,8.5422e-05
40,3877.4,0.61646,0.47118,1.10729,0.99752,0.99705,0.99426,0.87153,0.5525,0.26179,1.00309,7.8591e-05,7.8591e-05,7.8591e-05
41,3973.77,0.50373,0.30249,1.08297,0.99801,0.99725,0.99427,0.87846,0.53631,0.25878,0.99401,7.176e-05,7.176e-05,7.176e-05
42,4067.59,0.48513,0.28434,1.06435,0.99825,0.99591,0.99422,0.88307,0.51926,0.25749,0.98898,6.4929e-05,6.4929e-05,6.4929e-05
43,4160.73,0.47841,0.28118,1.0569,0.99816,0.9954,0.99417,0.8876,0.51193,0.25693,0.98387,5.8098e-05,5.8098e-05,5.8098e-05
44,4254.41,0.4683,0.27241,1.04499,0.99844,0.9958,0.99426,0.89193,0.5057,0.24905,0.97682,5.1267e-05,5.1267e-05,5.1267e-05
45,4348.03,0.4578,0.26222,1.03968,0.99791,0.99746,0.99434,0.89184,0.50323,0.24742,0.97809,4.4436e-05,4.4436e-05,4.4436e-05
46,4441.81,0.44983,0.25672,1.03447,0.99809,0.99709,0.99432,0.89584,0.49045,0.24329,0.97345,3.7605e-05,3.7605e-05,3.7605e-05
47,4535.45,0.43789,0.2528,1.02432,0.99816,0.99639,0.99429,0.89455,0.49216,0.24279,0.97231,3.0774e-05,3.0774e-05,3.0774e-05
48,4628.72,0.43123,0.24807,1.02154,0.99838,0.99723,0.99431,0.89238,0.50547,0.23883,0.97377,2.3943e-05,2.3943e-05,2.3943e-05
49,4722.21,0.4262,0.24245,1.01997,0.99821,0.99652,0.99431,0.8966,0.49349,0.23593,0.96956,1.7112e-05,1.7112e-05,1.7112e-05
50,4815.06,0.41317,0.23895,1.01102,0.9985,0.99654,0.99432,0.8994,0.48028,0.23294,0.9648,1.0281e-05,1.0281e-05,1.0281e-05
